,"concentric_LIN_cars=0300(L)_t=1_levels[3]=(3-0, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(L)_t=1_levels[4]=(3-0, 3-60, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(R)_t=1_levels[3]=(3-0, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(R)_t=1_levels[4]=(3-0, 3-60, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10"
128,16833.648181144712,16898.613428554327,16354.530470318596,16260.693127773697
129,17004.591567841206,16890.002765142166,16336.906394954545,16214.711872813727
130,17008.629612835728,17137.921132994066,15950.256771554434,15854.301614675252
131,17155.095072860513,16808.560925794674,15544.11310956758,15585.124585358599
132,16782.84709701447,17213.722522436678,15948.987369959026,15661.03923647606
133,16661.66120005787,17192.50099776451,16281.415851880165,16131.030579947877
134,16827.101015570694,16912.362768547464,15673.676305815665,15562.141692792675
135,16828.270044124238,17068.892899646293,16155.192060153522,15995.510693515624
136,16648.284038287926,17295.6921627477,16462.3355736653,16197.094353909437
137,16656.229801088764,17309.45625602853,16029.451380114358,15888.08273748619
138,16239.138114519388,16768.09827768373,16340.196283491348,15959.57550972534
139,16329.39227052319,17124.25228759153,16082.537020201116,15979.618779340506
140,16287.106192096802,16879.553286920414,16070.068917917977,15866.813466273341
141,16306.022706514872,16867.041338489194,16474.883590380152,16191.959667616657
142,16610.191497437536,17103.166775865786,16136.605838758982,16002.918918889005
143,16688.424428661452,17196.520991501064,16182.801794072215,15919.415018041062
144,16413.45743575686,16758.736652042597,16305.225886321323,16283.46559190152
145,16461.532091969144,17305.177319091454,15852.043597375012,15765.973651921964
146,16467.279428005477,17220.217979854515,16348.05370062367,16239.425718293804
147,16505.979345052066,17258.123836677656,15711.806267902568,15808.815942423658
148,16621.3687848364,16844.31408675001,15811.879081599278,15631.954023499378
149,16433.30053731098,16952.96913862372,16026.554779874765,16011.114643933503
150,16922.231648286346,16668.073777402147,16628.04920690999,16506.773337978117
151,16498.01242958209,16670.88486803797,16320.030395713635,16164.541491150043
152,16468.194583198518,16703.386021166614,16170.455631164406,16119.486901553288
153,16510.20778655416,16358.436847136472,16324.32097873707,16270.77921055351
154,16633.13575049699,16706.454779175518,15972.681140476765,15978.060083805116
155,16558.673030473572,16588.567505659485,16002.59837171429,16110.309971646142
156,16537.93782876322,16689.3883904909,15876.395225190314,15918.911385332007
157,16637.286763051965,16687.003919900755,16210.100507184234,16045.086842985413
158,16509.54179563203,16823.371935046198,16025.634197664293,15936.924640470259
159,16556.335906908025,16547.203610419983,16148.341500534496,16085.861396661905
160,16925.496056756027,16772.851346710475,15709.23756102938,15596.915671351444
161,16817.240254523753,16636.057665686374,16292.904641461264,16124.121336923346
162,16465.693261924105,16648.041542535233,16159.49440258109,15957.0322043173
163,16093.837226494152,16566.53557585148,16311.657462329915,16090.959011555104
164,16721.480327444115,17135.77408024796,16021.381048537938,15979.509076913246
165,16388.975924993127,16930.722569726535,15739.81928242616,15622.826738028776
166,16193.338839404283,16605.044123061227,16264.948060154651,15944.96342802184
167,16514.318483896743,16835.388923520997,16246.402715138785,16117.80200627445
168,16499.69481612716,16804.266982406374,15918.006001638583,15939.453637901059
169,16755.41387962959,16613.31350401225,16244.808605460084,16082.928222362929
170,16718.80800922611,16719.960546076163,16004.089728199078,15738.662937747025
171,16497.275496709477,16654.19473338998,16072.22602883257,16241.842686119815
172,16351.71937511234,16907.33824894003,16136.396995746276,15998.95974388386
173,16554.787007730705,16918.782390130364,16263.16009433388,16165.927321472152
174,16299.250418227311,16883.715290811622,15976.405626631065,15927.341379208816
175,16766.57537510492,16593.795253828113,16101.69054686934,15944.260523877834
176,16769.912103204162,16655.87358564019,15876.816273020422,15804.700942793588
177,16307.005931006757,16778.59754221233,16268.67895151461,16278.018405210603
178,16609.908782805134,16942.468694980704,16038.111137029646,16007.315833232571
