pickup_datetime,passenger_count,pk_id,dp_id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
2011-02-01 00:18:59,1,3307,3533,40.763302,-73.99638299999998,40.764726,-73.98069499999998
2011-02-01 00:19:00,1,2401,466,40.73967800000001,-73.98957199999998,40.769552,-73.96042
2011-02-01 00:19:00,1,1354,4292,40.780205,-73.95742199999998,40.726778,-73.98338199999998
2011-02-01 00:19:00,1,3178,233,40.764412,-73.97744799999998,40.756835,-73.990188
2011-02-01 00:19:00,1,3279,2325,40.75910800000001,-73.970515,40.76168300000001,-73.95747299999998
2011-02-01 00:19:00,2,4247,3768,40.725275,-73.992393,40.748543,-73.97116699999998
2011-02-01 00:19:00,1,3184,1977,40.765647,-73.97613,40.730893,-73.986023
2011-02-01 00:19:00,4,4019,1310,40.724758,-73.99900499999998,40.72491,-73.999302
2011-02-01 00:19:09,1,2355,2712,40.70655,-74.006772,40.741251,-73.975451
2011-02-01 00:19:11,1,2847,3859,40.757812,-73.989087,40.799876,-73.954901
2011-02-01 00:19:16,1,3056,794,40.773611,-73.96002299999998,40.713742,-73.97914399999998
2011-02-01 00:19:49,1,2661,3121,40.749499,-74.002881,40.753796,-73.99982
2011-02-01 00:19:57,1,1842,3022,40.725607,-74.00556,40.72743,-73.99129
2011-02-01 00:19:59,1,3009,633,40.740895,-73.98181099999998,40.789204,-73.970174
2011-02-01 00:20:00,1,3230,234,40.773814,-73.98146,40.757273,-73.99010199999998
2011-02-01 00:20:00,5,236,1195,40.75871,-73.98919499999998,40.774548,-73.983985
2011-02-01 00:20:00,1,1182,4127,40.747473,-73.981072,40.749297,-73.975077
2011-02-01 00:20:00,1,3023,531,40.759843,-73.976228,40.734078,-73.97793299999998
2011-02-01 00:20:00,3,2709,1437,40.743232,-73.979935,40.73835800000001,-73.973943
2011-02-01 00:20:01,1,2337,1553,40.768305,-73.952781,40.755646,-73.968148
2011-02-01 00:20:06,2,1380,236,40.756379,-73.98607599999998,40.758687,-73.98859
2011-02-01 00:20:08,1,3180,2874,40.764917,-73.976561,40.757933,-73.975471
2011-02-01 00:20:14,1,3157,1769,40.784617,-73.979315,40.797808,-73.973348
2011-02-01 00:20:15,1,1636,4020,40.740076,-73.98663499999998,40.728779,-73.995226
2011-02-01 00:20:24,1,1987,4290,40.7404,-73.979208,40.728845,-73.987447
2011-02-01 00:20:35,2,2189,3634,40.717932,-73.999764,40.75546,-73.99545399999998
2011-02-01 00:21:00,1,226,4163,40.752068,-73.993635,40.774393,-73.957622
2011-02-01 00:21:00,1,2347,2547,40.773473,-73.94899499999998,40.759345,-73.99205499999998
2011-02-01 00:21:00,1,3467,1319,40.727555,-73.99409699999998,40.740052,-73.99873199999998
2011-02-01 00:21:00,2,3003,4138,40.742743,-73.986807,40.75614,-73.97108
2011-02-01 00:21:00,2,3045,2243,40.721362,-73.997507,40.75633300000001,-73.997387
2011-02-01 00:21:00,1,2801,2015,40.777685,-73.951918,40.768187,-73.95883499999998
2011-02-01 00:21:00,5,4172,587,40.78313,-73.95086499999998,40.809715,-73.943972
2011-02-01 00:21:00,1,1187,4258,40.749957,-73.99179499999998,40.727823,-73.99917999999998
2011-02-01 00:21:04,1,2185,712,40.715067,-74.00192599999998,40.722719,-73.982935
2011-02-01 00:21:15,1,1635,3012,40.739685,-73.98684799999998,40.739118,-73.97797299999998
2011-02-01 00:21:40,1,4124,2930,40.748046467325004,-73.976398699491,40.768334554576995,-73.961735404514
2011-02-01 00:21:46,1,3022,3651,40.72801,-73.99095099999998,40.719301,-73.993378
2011-02-01 00:21:48,1,2744,2287,40.730448,-73.990212,40.752608,-74.004062
2011-02-01 00:21:48,2,3350,1389,40.734602,-74.002188,40.762202,-73.98246399999998
2011-02-01 00:21:50,1,3153,2917,40.755065,-73.984373,40.741204,-73.997686
2011-02-01 00:22:00,5,718,2572,40.759757,-73.99539799999998,40.83492800000001,-73.94757799999998
2011-02-01 00:22:00,1,3134,4261,40.748932,-73.988558,40.729197,-74.000918
